company,introduction,end_market,industry,link,link_corrected
Heliwest Group,Aerial and engineering services,Pest control,"Services - professional, scientific, and technical",http://www.heliwest.com.au/?page_id=14,http://www.heliwest.com.au/?page_id=14
High Tech Laser Australia,"Wholesaler of laser and other high tech niche aesthetic medicine, surgical, dental and women's health equipment. Supports brands and clinics with marketing and PR support",Medical equipment,Healthcare,http://hightechlaser.com.au/,http://www.hightechlaser.com.au/
Health Networks Australia,Allied health services,Allied health,Healthcare,www.hna.com.au,http://www.hna.com.au/
Hofmann Engineering,Engineering manufacturers and services provider in different industries,Defence,Manufacturing,http://www.hofmannengineering.com/About_Us.aspx,http://www.hofmannengineering.com/About_Us.aspx
Hydro-dis Water Treatment Systems,Disinfection technology for water and wastewaster applications,Water management,"Services - professional, scientific, and technical",https://www.hydro-dis.com.au/,http://www.hydro-dis.com.au/
International Animal Health Products,Veterinary and animal health products,Veterinary / agriculture,Manufacturing,,http://www.iahp.com.au/
iautomation,Bulding energy management and lighting control systems products distribution and installation,Energy efficiency,"Services - professional, scientific, and technical",http://www.iautomation.com.au/,http://www.iautomation.com.au/
Ibis Information Systems,Revenue and operational management to local government and water authorities,Business performance,"Services - professional, scientific, and technical",http://www.ibisinfosys.com.au/,http://www.ibisinfosys.com.au/
IFM Quality Services,Engineering testing and consultancy services,Proficiency testing,"Services - professional, scientific, and technical",http://www.ifmqs.com.au/index.htm,http://www.ifmqs.com.au/
Independent Monitoring Consultants,Specialist microbiological laboratory and consultancy serrvies to different industries,Laboratory,"Services - professional, scientific, and technical",http://www.imclive.com/,http://www.imclive.com/
Info Salons,Event technology company for registration and attendee database management,Events,IT - Software,http://www.infosalonsgroup.com/about-us/,http://www.infosalonsgroup.com/about-us/
Injury Treatment,Workplace rehab and injury prevention services,Rehab and injury prevention,Services - other,www.injurytreatment.com.au,http://www.injurytreatment.com.au/
Innovative Medical Solutions,Medical equipment maintenance and repair services,Medical,"Services - professional, scientific, and technical",http://www.innovativemedical.com.au,http://www.innovativemedical.com.au/
Integra Energy Group,Renewable energy products and solutions manufacturer,Energy efficiency,Manufacturing,http://www.integrasolar.com.au/,http://www.integrasolar.com.au/
Integra Water,Water treatment products and services,Water management,"Services - professional, scientific, and technical",http://www.integrawater.com.au/,http://www.integrawater.com.au/
InteractSport,"Sports management platform for NSOs, associations, clubs and teams",Sports,IT - Software,http://www.interactsport.com/about.aspx?rw=c,http://www.interactsport.com/about.aspx?rw=c
Inter-Continental Colleges,RTO,"Business, English",Education,http://www.intercontinental.edu.au/,http://www.intercontinental.edu.au/
Intersales,seller of agricultural machinery and equipment,Agriculture,Agriculture,http://www.intersales.com.au,http://www.intersales.com.au/
Integrated Software Solutions,Provider of laboratory and radiology information management systems products and services,Laboratory,IT - Software,http://www.intsoftsol.com/About-Us.html,http://www.intsoftsol.com/About-Us.html
IQ Medical,Medical equipment and consumables distribution in opthalmic care,Distribution,Healthcare,http://www.iqmedical.com.au/who-we-are/,http://www.iqmedical.com.au/who-we-are/
John Cameron Aviation,"Overhaul, repair and sales of aircraft fire extinguishers, oxygen equipment etc.",Aviation,"Services - professional, scientific, and technical",http://www.jcaviation.com.au/about-us.php,http://www.jcaviation.com.au/about-us.php
Uneedit Supplies,Medical supplies and consumables distribution,Medical devices,Healthcare,http://www.uneedit.com.au/about_us.php,http://www.jcsm.com.au/index.php?option=com_content&view=article&id=128&Itemid=563
Jurgens Bread,Bread manufacturing,Food,Manufacturing,,http://www.jurgens.net.au/
Kassam Holdings,Sand mining operation in VIC and TAS,Quarry,"Mining, oil and gas",http://www.kassemholdings.com/,http://www.kassemholdings.com/
Kidsmondo,Education theme park,K-12 education services,Education,,http://www.kidzmondo.com/landing/franchise-form
Knowall Software,Field management software,Field management,IT - Software,http://www.knowallsoftware.com.au/,http://www.knowallsoftware.com.au/
K-TIG,Welding equipment manufacturer,Welding,Manufacturing,www.k-tig.com,http://www.k-tig.com/
KZ Speech,Caters to the needs of people on the autism spectrum and with other communication disorders,Developmental healthcare,Healthcare,http://www.kzspeech.com.au/about,http://www.kzspeech.com.au/about
LabMagic,Dental laboratory management software,Dental,IT - Software,http://www.labmagic.com.au/,http://www.labmagic.com.au/
Laboratory Systems Group,"Consultation, design, manufacture, installation and commissioning of scientific and laboratory controlled environment equipment",Laboratory,Manufacturing,http://www.labsystemsgroup.com.au/company/about/,http://www.labsystemsgroup.com.au/company/about/
Latrobe Fertilisers Limited,Urea plant,Mining,"Mining, oil and gas",,http://www.latrobefertilisers.com.au/
Leader,Animal tagging / compliance,Compliance products,Agriculture,www.leaderproducts.com.au,http://www.leaderproducts.com.au/
Leisure Management Services,Leasing and infrastructure for leisure complex,Leisure complex,"Arts, entertainment and recreation",http://www.leisuremanagement.com.au/,http://www.leisuremanagement.com.au/
LTech Australia,Provider of laboratory information management system product and services,Laboratory,IT - Software,http://www.lims1.com/about-us/,http://www.lims1.com/about-us/
Little Lease Company,Asset backed finance,SME,Finance and insurance,www.littlelease.com.au,http://www.littlelease.com.au/
Lok Lok,Asian QSR,QSR,Services - accommodation and food,www.loklok.com.au,http://www.loklok.com.au/
LW Reid,Manufacturer of school uniforms,Uniform shop,Education,http://www.lwreid.com.au/about-us,http://www.lwreid.com.au/about-us
Lyceum Education Centre,RTO,Languages,Education,https://www.lyceum.com.au/,http://www.lyceum.com.au/
MIS,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.marineinspectionservice.com.au/about-us/,http://www.marineinspectionservice.com.au/about-us.html
Martinus Rail,"Design, supply, construction and maintenance of railway assets",Rail,Construction,http://www.martinusrail.com.au/our-business/,http://www.martinusrail.com.au/our-business/
Mayfield Education,Health and community vocational education services,RTO,Education,http://www.mayfield.edu.au/about-us/,http://www.mayfield.edu.au/about-us/
Mayo Hardware,Specialist products distributor,Retail,Wholesale trade,http://www.mayohardware.com.au/,http://www.mayohardware.com.au/
MBD Energy Limited,Algae based food and energy business,Acquaculture,Agriculture,http://www.mbdenergy.com/about.php,http://www.mbdenergy.com/about_emissions_solutions.php
Meales Group,Concrete pumping business,Building materials,Construction,http://www.meales.com.au/,http://www.meales.com.au/
Melbourne Flight Training,Commercial pilot training school,Aviation,Education,www.melbourneflighttraining.com.au,http://www.melbourneflighttraining.com.au/
Microwave Safety Systems,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",,http://www.microwavesafe.net/
Mind & Matter,Organizational psychology consulting and individual counselling and therapy,"Corporate, retail",Healthcare,http://www.mindandmatter.com.au/,http://www.mindandmatter.com.au/
Mismatch Brewing Company,Craft beer company,,Manufacturing,,http://www.mismatchbrewing.com.au/
MiTech,"Provider of equipment hardware, replacement parts and consulting services",Manufacturing,Manufacturing,http://www.mitech.nz/,http://www.mitech.nz/
Moody Kiddell & Partners,Provides insurance and financing for equipment and property,"Earthmoving, Transport & Logistics, Agriculture and Property",Finance and insurance,www.mkpfinance.com.au/about-us,http://www.mkpfinance.com.au/about-us/
Musac,Student Information System,Education,IT - Software,http://www.musac.co.nz,http://www.musac.co.nz/
BakeryCo,"Bakery to grocery, food service and QSR",FMCG,Manufacturing,,http://www.nadabakery.co.nz/
NDA Computing,RTO,"Computer, management, traineeships",Education,http://www.nda.com.au/,http://www.nda.com.au/
Network Logic,Healthcare practice management software,Healthcare,IT - Software,http://www.networklogic.com.au/pms_nethealth.asp,http://www.networklogic.com.au/pms_nethealth.asp
NewSpec,"Scientific research equipment to lasers, optics, electron microscope sectors",Distribution,Wholesale trade,http://www.newspec.com.au/aboutnewspec.php,http://www.newspec.com.au/aboutnewspec.php
Novaris Technologies,manufacturing for surge protection equipment Commercial nonphysical research,Commercial businesses,"Services - professional, scientific, and technical",http://www.novaris.com.au/about/,http://www.novaris.com.au/about/
Oates,Cleaning and household produts,Cleaning,Retail trade,http://www.oates.com.au/,http://www.oates.com.au/
OEM Technology Solutions,wireless monitoring and control software solutions,Manufacturing,IT - Software,http://www.oem.net.au/,http://www.oem.net.au/
Oil Industry Catering & Services,Camp catering services; moving into aged care services,Catering,Services - accommodation and food,,http://www.oicservices.com.au/
OnQ Software,Provider of laboratory information management system,Laboratory,IT - Software,http://www.onqsoft.com.au/#/about,http://www.onqsoft.com.au/
On Site Gas Systems,Nitrogen and oxygen generation systems manufacturing solutions industries,Gas systems,Manufacturing,http://www.onsitegas.com.au/about/,http://www.onsitegas.com.au/about/
Otawog Systems Ltd,Laboratory equipment manufacturer for animal research,Laboratory animal research,Manufacturing,http://otawog.com/index.html,http://www.otawog.com/
Pacific Energy,Distributed energy distribution for mining / remote sites,Energy for mining,"Mining, oil and gas",http://www.pacificenergy.com.au/contact-us.html,http://www.pacificenergy.com.au/contact-us.html
Pacific Medical Australia,Medical equipment distribution,Hospital and allied health markets,Healthcare,http://www.pacificmedical.com.au,http://www.pacificmedical.com.au/
Packaging Partners,Packaging machinery OEM and service provider,Packaging,Manufacturing,,http://www.packagingpartners.com.au/
PAN Software,GRC software/services for health and safety and business continuity,Corporate risk,IT - Software,http://www.pansoftware.com.au/,http://www.pansoftware.com.au/
Paradigm Software,Risk-based Compliance Management Software,Corporate risk,IT - Software,http://www.paradigm3.com.au/,http://www.paradigm3.com.au/
Parker Healthcare,"Medical equipment and plastics consumable company specialising in hospital intensive care, anaesthesia and neonatal areas. On-site programmed maintenance and repair services",Medical equipment,Healthcare,http://www.parkerhealth.com.au/,http://www.parkerhealth.com.au/
